CRSE_ID,CRSE_OFFER_NBR,STRM,SESSION_CODE,CLASS_SECTION,CLASS_NBR,SUBJECT,CATALOG_NBR,DESCR,ENROLLMENT,HU_H2_CRS_RT_NUM,HU_H2_REF_NUM
107336,1,2168,1,1,10113,CELLBIO, 305QC,Intracellular Transport,0,100071,61228
107340,1,2168,1,1,10115,FRSEMR,  26F,Dreams: Our Mind by Night,0,100112,91442
107341,1,2168,1,1,10116,US-WORLD,35,Equity in American Education,0,100113,55027
107341,1,2172,1,1,10120,US-WORLD,35,Equity in American Education,0,100113,55027
107341,1,2172,1,2,27191,US-WORLD,35,Equity in American Education,0,100113,55027
107349,1,2168,1,1,23620,MODMDEST,100,Intro Modern Middle East,0,100151,12411
107367,1,2168,1,1,11993,PHYSCI,10,Quantum & Statistical Found Ch,0,100291,75544
107368,1,2172,1,1,12617,PHYSCI,11,Frontiers of Modern Chemistry,0,100292,24022
107375,1,2168,1,1,10121,HIND-URD,  91R,Hindi-Urdu Supervised Readings,0,100353,99557
107375,1,2168,1,2,13957,HIND-URD,  91R,Hindi-Urdu Supervised Readings,0,100353,99557
107375,1,2172,1,1,10125,HIND-URD,  91R,Hindi-Urdu Supervised Readings,0,100353,99557
107375,1,2172,1,2,13313,HIND-URD,  91R,Hindi-Urdu Supervised Readings,0,100353,99557
107375,1,2172,1,3,14913,HIND-URD,  91R,Hindi-Urdu Supervised Readings,0,100353,99557
107378,1,2168,1,1,10123,SAS, 100R,South Asian Language Tutorials,0,100356,78249
107378,1,2168,1,2,12204,SAS, 100R,South Asian Language Tutorials,0,100356,78249
107378,1,2168,1,3,12206,SAS, 100R,South Asian Language Tutorials,0,100356,78249
107378,1,2168,1,4,12207,SAS, 100R,South Asian Language Tutorials,0,100356,78249
107378,1,2172,1,1,10127,SAS, 100R,South Asian Language Tutorials,0,100356,78249
107378,1,2172,1,2,12323,SAS, 100R,South Asian Language Tutorials,0,100356,78249
107378,1,2172,1,3,13561,SAS, 100R,South Asian Language Tutorials,0,100356,78249
107378,1,2172,1,4,13562,SAS, 100R,South Asian Language Tutorials,0,100356,78249
107379,1,2168,1,1,10124,SAS,  91R,Supervised Reading & Research,0,100357,26727
107379,1,2168,1,2,14762,SAS,  91R,Supervised Reading & Research,0,100357,26727
107379,1,2168,1,3,14763,SAS,  91R,Supervised Reading & Research,0,100357,26727
107379,1,2172,1,1,10128,SAS,  91R,Supervised Reading & Research,0,100357,26727
107379,1,2172,1,2,13605,SAS,  91R,Supervised Reading & Research,0,100357,26727
107379,1,2172,1,3,13606,SAS,  91R,Supervised Reading & Research,0,100357,26727
107380,1,2168,1,1,10125,SAS,  98R,Tutorial - Junior Year,0,100358,93356
107380,1,2172,1,1,10129,SAS,  98R,Tutorial - Junior Year,0,100358,93356
107381,1,2168,1,1,12517,SAS,  99RA,Tutorial - Senior Year,0,100359,41834
107388,1,2168,1,1,23773,ECON,1936,Keynes,0,100377,14325
107397,1,2168,1,1,10129,ENG-SCI,135,Phys & Chem:Contxt Global Ener,0,100452,98766
107400,1,2168,1,1,10130,CELLBIO, 306QC,Theory & Sci of Teaching,0,100471,62351
107403,1,2172,1,1,23790,ECON,1760,Behavioral Finance,0,100491,77458
107425,1,2172,1,1,23472,ECON,1450R,Religion and Political Economy,0,100591,43748
107426,1,2168,1,1,23454,MUSIC, 105R,"Fund of Improv & Comp, Dance",0,100592,58855
107432,1,2168,1,1,13951,PSY, 980F,Animal Cognition,0,100631,89069
107451,1,2172,1,1,23475,PSY, 980R,Cultural Psychology,0,100751,46453
107453,1,2168,1,1,10138,PSY,1512,Persuasion and Communication,0,100753,76667
107455,1,2172,1,1,10142,CELLBIO, 307QC,Chromatin Dynamics,0,100755,91774
107464,1,2168,1,1,12107,SOCWORLD,47,Contemporary Develop Countries,0,100793,85573
107469,1,2172,1,1,23216,LING, 221R,Workshop in Indo-European,0,1008,1008
107600,1,2172,1,1,10177,APMTH,221,Advanced Optimization,0,100949,84323
107602,1,2172,1,1,15228,PSY,1503,Psych of Close Relationships,0,100951,32801
107608,1,2168,1,1,13536,ECON,2005HFA,Research in Contracts and Orgs,0,100991,11493
107613,1,2168,1,1,10170,ECON,1415,Analytic Frameworks for Policy,0,101012,93229
107622,1,2168,1,1,10171,BCMP,390,Gene Regulation,0,101051,87028
107622,1,2172,1,1,10181,BCMP,390,Gene Regulation,0,101051,87028
107628,1,2168,1,1,10173,DRB,322,Regulation of Tissue Stem Cell,0,101073,80827
107628,1,2172,1,1,10183,DRB,322,Regulation of Tissue Stem Cell,0,101073,80827
107630,1,2168,1,1,10174,GENETIC,397,Immunogenomics,0,101075,95934
107630,1,2172,1,1,10185,GENETIC,397,Immunogenomics,0,101075,95934
107631,1,2168,1,1,10175,HBTM,348,Molecular Pathogenesis,0,101076,44412
107631,1,2172,1,1,10186,HBTM,348,Molecular Pathogenesis,0,101076,44412
