CRSE_ID,CRSE_OFFER_NBR,STRM,SESSION_CODE,CLASS_SECTION,CLASS_NBR,SUBJECT,CATALOG_NBR,DESCR,ENROLLMENT,HU_H2_CRS_RT_NUM,HU_H2_REF_NUM
107332,1,2158,1,1,15248,SOCIOL,263,Hist Socio: Cult and Inst Pers,2,100051,82536
107336,1,2158,1,1,10114,CELLBIO, 305QC,Intracellular Transport,3,100071,61228
107340,1,2158,1,1,10117,FRSEMR,  26F,Dreams: Our Mind by Night,14,100112,91442
107341,1,2158,1,1,10118,US-WORLD,35,Equity in American Education,72,100113,55027
107341,1,2162,1,1,10103,US-WORLD,35,Equity in American Education,71,100113,55027
107341,1,2162,1,2,17030,US-WORLD,35,Equity in American Education,73,100113,55027
107349,1,2162,1,1,14795,MODMDEST,100,Intro Modern Middle East,14,100151,12411
107367,1,2158,1,1,14277,PHYSCI,10,Quantum & Statistical Found Ch,27,100291,75544
107368,1,2162,1,1,15466,PHYSCI,11,Frontiers of Modern Chemistry,128,100292,24022
107375,1,2158,1,1,10134,HIND-URD,  91R,Hindi-Urdu Supervised Readings,0,100353,99557
107375,1,2158,1,2,17167,HIND-URD,  91R,Hindi-Urdu Supervised Readings,1,100353,99557
107375,1,2162,1,1,10121,HIND-URD,  91R,Hindi-Urdu Supervised Readings,0,100353,99557
107375,1,2162,1,2,16484,HIND-URD,  91R,Hindi-Urdu Supervised Readings,1,100353,99557
107375,1,2162,1,3,18348,HIND-URD,  91R,Hindi-Urdu Supervised Readings,0,100353,99557
107378,1,2158,1,1,10136,SAS, 100R,South Asian Language Tutorials,9,100356,78249
107378,1,2158,1,2,14709,SAS, 100R,South Asian Language Tutorials,4,100356,78249
107378,1,2158,1,3,14714,SAS, 100R,South Asian Language Tutorials,4,100356,78249
107378,1,2158,1,4,14715,SAS, 100R,South Asian Language Tutorials,0,100356,78249
107378,1,2162,1,1,10123,SAS, 100R,South Asian Language Tutorials,6,100356,78249
107378,1,2162,1,2,15065,SAS, 100R,South Asian Language Tutorials,5,100356,78249
107378,1,2162,1,3,16796,SAS, 100R,South Asian Language Tutorials,4,100356,78249
107378,1,2162,1,4,16797,SAS, 100R,South Asian Language Tutorials,0,100356,78249
107379,1,2158,1,1,10137,SAS,  91R,Supervised Reading & Research,0,100357,26727
107379,1,2158,1,2,18102,SAS,  91R,Supervised Reading & Research,0,100357,26727
107379,1,2158,1,3,18103,SAS,  91R,Supervised Reading & Research,0,100357,26727
107379,1,2162,1,1,10124,SAS,  91R,Supervised Reading & Research,0,100357,26727
107379,1,2162,1,2,16842,SAS,  91R,Supervised Reading & Research,1,100357,26727
107379,1,2162,1,3,16843,SAS,  91R,Supervised Reading & Research,0,100357,26727
107380,1,2158,1,1,10138,SAS,  98R,Tutorial - Junior Year,0,100358,93356
107380,1,2162,1,1,10125,SAS,  98R,Tutorial - Junior Year,1,100358,93356
107381,1,2158,1,1,15165,SAS,  99RA,Tutorial - Senior Year,1,100359,41834
107397,1,2158,1,1,10148,ENG-SCI,135,Phys & Chem:Contxt Global Ener,11,100452,98766
107400,1,2158,1,1,10149,CELLBIO, 306QC,Theory & Sci of Teaching,3,100471,62351
107403,1,2162,1,1,10141,ECON,1760,Behavioral Finance,72,100491,77458
107425,1,2162,1,1,18788,ECON,1450R,Religion and Political Economy,0,100591,43748
107426,1,2158,1,1,10163,MUSIC, 105R,"Fund of Improv & Comp, Dance",9,100592,58855
107432,1,2158,1,1,17158,PSY, 980F,Animal Cognition,4,100631,89069
107451,1,2158,1,1,10173,PSY,1502,Cultural Psy Explr Socl Ident,0,100751,46453
107453,1,2158,1,1,10175,PSY,1512,Persuasion and Communication,0,100753,76667
